id,name,feature_type,mile,mile_end,latitude,longitude,source_ids
nps-mccoys-ferry-110-4,McCoys Ferry,campground,110.4,,39.608148,-77.970382,nps_recreation_guide|nps_towpath_reference
access-fort-frederick-112-4,Fort Frederick,access_point,112.4,,39.605391,-78.005041,co_canal_association_access_points|nps_recreation_guide
nps-fort-frederick-state-park-112-4,Fort Frederick State Park,campground,112.4,,39.605593,-78.005485,nps_recreation_guide|nps_towpath_reference
nps-big-pool-113-8,Big Pool,boat_access,113.8,,39.622391,-78.019031,nps_recreation_guide|nps_towpath_reference
access-ernstville-road-114-5,Ernstville Road,access_point,114.5,,39.63297,-78.028951,co_canal_association_access_points
nps-licking-creek-116-0,Licking Creek,campground,116.0,,39.646154,-78.045378,nps_recreation_guide|nps_towpath_reference
access-licking-creek-116-3,Licking Creek,access_point,116.3,,39.655987,-78.053946,co_canal_association_access_points|nps_recreation_guide
access-little-pool-119-6,Little Pool,access_point,119.6,,39.68443,-78.103796,co_canal_association_access_points
lock-51,Lock 51,lock,122.7,,39.692982,-78.150004,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-hancock-visitor-center-122-8,Hancock Visitor Center,access_point,122.8,,39.694227,-78.154046,co_canal_association_access_points
lock-52,Lock 52,lock,122.9,,39.69346,-78.153723,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-hancock-124-1,Hancock,access_point,124.1,,39.698253,-78.181036,co_canal_association_access_points
nps-little-tonoloway-hancock-124-5,Little Tonoloway (Hancock),boat_access,124.5,,39.697873,-78.183078,nps_recreation_guide|nps_towpath_reference
access-berm-road-125-6,Berm Road,access_point,125.6,,39.683618,-78.199002,co_canal_association_access_points
nps-white-rock-126-4,White Rock,campground,126.4,,39.678539,-78.206563,nps_recreation_guide|nps_towpath_reference
nps-little-pool-126-6,Little Pool,campground,126.6,,39.677996,-78.210251,nps_recreation_guide|nps_towpath_reference
nps-leopards-mill-129-9,Leopards Mill,campground,129.9,,39.653048,-78.238459,nps_recreation_guide|nps_towpath_reference
lock-53,Lock 53,lock,130.1,,39.651246,-78.241386,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-cohill-station-130-7,Cohill Station,access_point,130.7,,39.645446,-78.251711,co_canal_association_access_points|nps_recreation_guide
nps-cohill-station-130-7,Cohill Station,railroad_station,130.7,,39.645798,-78.250115,nps_recreation_guide|nps_towpath_reference
nps-cacapon-juntion-133-6,Cacapon Juntion,campground,133.6,,39.621978,-78.282096,nps_recreation_guide|nps_towpath_reference
access-pearre-road-dam-6-134-0,"Pearre Road, Dam #6",access_point,134.0,,39.628174,-78.298256,co_canal_association_access_points
lock-54,Lock 54,lock,134.0,,39.623685,-78.289192,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-55,Lock 55,lock,134.2,,39.625375,-78.292234,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-wmrt-pearre-parking-lot-135-9,WMRT Pearre parking lot,access_point,135.9,,39.63648,-78.323262,co_canal_association_access_points
access-lock-56-pearre-136-2,Lock 56 (Pearre),access_point,136.2,,39.637868,-78.328302,co_canal_association_access_points
lock-56,Lock 56,lock,136.2,,39.636717,-78.326765,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-indigo-neck-139-2,Indigo Neck,campground,139.2,,39.627074,-78.359089,nps_recreation_guide|nps_towpath_reference
lock-57,Lock 57,lock,139.4,,39.627721,-78.362741,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-little-orleans-140-8,Little Orleans,access_point,140.8,,39.625648,-78.385868,co_canal_association_access_points
nps-fifteenmile-creek-140-9,Fifteenmile Creek,campground,140.9,,39.625693,-78.386301,nps_recreation_guide|nps_towpath_reference
lock-58,Lock 58,lock,144.0,,39.620124,-78.404766,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-devils-alley-144-5,Devils Alley,campground,144.5,,39.62283,-78.413478,nps_recreation_guide|nps_towpath_reference
lock-59,Lock 59,lock,146.5,,39.611125,-78.43243,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-kasecamp-road-147-1,Kasecamp Road,access_point,147.1,,39.603639,-78.42582,co_canal_association_access_points
nps-stickpile-hill-149-4,Stickpile Hill,campground,149.4,,39.582727,-78.399293,nps_recreation_guide|nps_towpath_reference
lock-60,Lock 60,lock,149.6,,39.582287,-78.402933,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-bonds-landing-150-1,Bonds Landing,access_point,150.1,,39.582848,-78.411246,co_canal_association_access_points
access-roby-hollow-151-2,Roby Hollow,access_point,151.2,,39.590113,-78.429294,co_canal_association_access_points
lock-61,Lock 61,lock,153.1,,39.583308,-78.459972,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-twigg-hollow-153-3,Twigg Hollow,access_point,153.3,,39.58128,-78.46154,co_canal_association_access_points
nps-sorrel-ridge-154-1,Sorrel Ridge,campground,154.1,,39.570954,-78.452925,nps_recreation_guide|nps_towpath_reference
lock-62,Lock 62,lock,154.1,,39.570954,-78.452925,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-63-1-3,Lock 63 1/3,lock,154.5,,39.566306,-78.454759,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-64-2-3,Lock 64 2/3,lock,154.6,,39.565278,-78.456065,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-66,Lock 66,lock,154.7,,39.564317,-78.457462,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-paw-paw-156-1,Paw Paw,campground,156.1,,39.54547,-78.462511,nps_recreation_guide|nps_towpath_reference
access-paw-paw-tunnel-156-2,Paw Paw Tunnel,access_point,156.2,,39.54445,-78.460806,co_canal_association_access_points|nps_recreation_guide
nps-purslane-run-156-9,Purslane Run,campground,156.9,,39.535606,-78.46445,nps_recreation_guide|nps_towpath_reference
lock-67,Lock 67,lock,161.7,,39.525514,-78.533007,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-lock-67-161-9,Lock 67,access_point,161.9,,39.5256,-78.53626,co_canal_association_access_points
nps-town-creek-162-1,Town Creek,campground,162.1,,39.524299,-78.540338,nps_recreation_guide|nps_towpath_reference
access-town-creek-aqueduct-162-3,Town Creek Aqueduct,access_point,162.3,,39.523862,-78.543122,co_canal_association_access_points|nps_recreation_guide
nps-potomac-forks-164-8,Potomac Forks,campground,164.8,,39.530476,-78.588689,nps_recreation_guide|nps_towpath_reference
lock-68,Lock 68,lock,164.8,,39.530476,-78.588689,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-69,Lock 69,lock,166.5,,39.539818,-78.609658,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-oldtown-lock-70-166-7,Oldtown (Lock 70),access_point,166.7,,39.540405,-78.611936,co_canal_association_access_points|nps_recreation_guide
lock-70,Lock 70,lock,166.7,,39.539815,-78.613427,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-oldtown-battie-mixon-166-7,Oldtown Battie Mixon,recreation_location,166.7,,39.539815,-78.613427,nps_recreation_guide|nps_towpath_reference
lock-71,Lock 71,lock,167.0,,39.541786,-78.618323,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-pigmans-ferry-169-1,Pigmans Ferry,campground,169.1,,39.539143,-78.650873,nps_recreation_guide|nps_towpath_reference
access-spring-gap-173-3,Spring Gap,access_point,173.3,,39.564306,-78.719289,co_canal_association_access_points|nps_recreation_guide
nps-spring-gap-173-3,Spring Gap,campground,173.3,,39.56461,-78.719211,nps_recreation_guide|nps_towpath_reference
lock-72,Lock 72,lock,174.4,,39.576123,-78.730887,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-irons-mountain-175-3,Irons Mountain,campground,175.3,,39.587859,-78.734986,nps_recreation_guide|nps_towpath_reference
lock-73,Lock 73,lock,175.4,,39.587907,-78.736863,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-74,Lock 74,lock,175.5,,39.587873,-78.738747,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-north-branch-175-6,North Branch,access_point,175.6,,39.587698,-78.743462,co_canal_association_access_points|nps_recreation_guide
lock-75,Lock 75,lock,175.7,,39.586476,-78.741911,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-river-road-176-4,River Road,access_point,176.4,,39.587303,-78.754629,co_canal_association_access_points
access-mexico-farms-178-3,Mexico Farms,access_point,178.3,,39.599369,-78.750544,co_canal_association_access_points
access-brehm-road-178-9,Brehm Road,access_point,178.9,,39.603402,-78.741713,co_canal_association_access_points
nps-evitts-creek-180-1,Evitts Creek,campground,180.1,,39.619127,-78.733404,nps_recreation_guide|nps_towpath_reference
access-candoc-recreation-area-181-8,Candoc Recreation Area,access_point,181.8,,39.625274,-78.759307,co_canal_association_access_points
access-canal-parkway-182-6,Canal Parkway,access_point,182.6,,39.622741,-78.773223,co_canal_association_access_points
access-elizabeth-street-183-1,Elizabeth Street,access_point,183.1,,39.629393,-78.773132,co_canal_association_access_points
access-cumberland-visitor-center-184-5,Cumberland Visitor Center,access_point,184.5,,39.649348,-78.7628,co_canal_association_access_points|nps_recreation_guide
nps-canal-terminus-cumberland-184-5,Canal Terminus (Cumberland),visitor_center,184.5,,39.648125,-78.763965,nps_recreation_guide|nps_towpath_reference
